iter	Logloss
0	0.6920249541
1	0.6910482535
2	0.6899674042
3	0.6890098454
4	0.6881075835
5	0.6872655759
6	0.6864002507
7	0.6856277569
8	0.6848650393
9	0.6841517482
10	0.6835078772
11	0.6828808354
12	0.682190572
13	0.6816045675
14	0.6810377261
15	0.6805526423
16	0.680015355
17	0.6795501999
18	0.679103187
19	0.6786788296
20	0.6783149877
21	0.6778930213
22	0.677506321
23	0.6771857976
24	0.6768388919
25	0.6765931537
26	0.676267665
27	0.6760548474
28	0.6758056135
29	0.6755769033
30	0.6754234427
31	0.6751513722
32	0.6749136299
33	0.6747120337
34	0.6744709823
35	0.6741885996
36	0.6740174885
37	0.6737591461
38	0.6735999558
39	0.6734575389
40	0.6732633025
41	0.6730881699
42	0.672979555
43	0.6728176716
44	0.6726678043
45	0.6725382008
46	0.6723221324
47	0.6722065611
48	0.6720942307
49	0.6719623952
50	0.6718392684
51	0.6717118259
52	0.6715618687
53	0.671474248
54	0.6712796623
55	0.6711775546
56	0.6710612493
57	0.6709418661
58	0.6708182701
59	0.6706966534
60	0.6705946869
61	0.6704893023
62	0.6703991911
63	0.6703158662
64	0.6701822272
65	0.670075148
66	0.6699785368
67	0.6698330782
68	0.6697667132
69	0.6695786
70	0.6693748718
71	0.6693032078
72	0.6692096658
73	0.6690759956
74	0.6689684877
75	0.6689152556
76	0.668826452
77	0.6687063161
78	0.6686428125
79	0.6685348114
80	0.6684569826
81	0.6683691242
82	0.6682898139
83	0.6682347016
84	0.6681001133
85	0.6679846992
86	0.667872418
87	0.6678081147
88	0.6677404887
89	0.6676582627
90	0.6675743693
91	0.6675137709
92	0.6674074685
93	0.6673063738
94	0.6671573575
95	0.6671104608
96	0.667039698
97	0.6669581641
98	0.6668548113
99	99	0.66557717100	0.6666638349
101	0.6665444351
102102	0.66542965103103	0.66537825104	0.6663301833
10105	0.66521667410106	0.66518604810107	0.66511490010108	0.66502242910109	0.66499613011110	0.66494752111111	0.66491004112112	0.66481934113113	0.66474597114114	0.66461796115115	0.66453755116116	0.66443811117117	0.6643940118	118	0.6643400119	0.6649941229
120	0.6649470575
